FedRoutingNR,Telegraphic Name,Customer Name,State,City,Eligible,Status,Last Change
021051274,NATL SEC CL CORP,NATIONAL SECURITIES CLEARING CORPORA,NY,NEW YORK,Y,N,20160321
021051287,FICC,FIXED INCOME CLEARING CORPORATION,NY,NEW YORK,Y,N,20160321
021051371,GNMA WASH,GNMA WASH,NY,NEW YORK,N,Y,20020625
021052040,TREASURY BBO,U.S. TREAS BUYBACK OPERATION,NY,NEW YORK,N,Y,20141107
021052367,FEDWIRE TEST BK B,FEDWIRE FRB TEST BANK B,NY,NEW YORK,Y,N,20141211
021052927,UBS BANK USA,UBS BANK USA,NY,NEW YORK,N,Y,20110401
021052943,WELLS GNMA-P&I,WELLS FARGO GNMA-P&I,NY,NEW YORK,N,Y,20171023
021053065,ITSGOV INTL SERV,FRBNY GOVERNMENT WIRES,DC,WASHINGTON,Y,N,20151124
021054035,DEF TRUST CA,DEFEASANCE TRUST COLLATERAL ACCOUNT,NJ,EAST RUTHERFORD,N,Y,20041223
021054064,DEF TR RETIREMENT,DEFEASANCE TRUST RETIREMENT ACCT,NJ,EAST RUTHERFORD,N,Y,20041223
021054527,DA FARM CREDIT,DISTRIBUTION ACCT-FARM CREDIT,NJ,EAST RUTHERFORD,Y,Y,20060817
021054530,DA FCAC,DISTRIBUTION ACCT-FCAC NYC,NJ,EAST RUTHERFORD,N,Y,20090915
021054543,DA FHLB WASHS,DISTRIBUTION ACCT-FHLBB WASH,NJ,EAST RUTHERFORD,Y,Y,20140411
021054556,DA FICO,DISTRIBUTION ACCT-FICO,NJ,EAST RUTHERFORD,Y,Y,20060630
021054569,DA REFCO,DISTRIBUTION ACCT-REFCO,NJ,EAST RUTHERFORD,Y,Y,20060630
021054572,DA FREDDIE MAC,DISTRIBUTION ACCT-FREDDIE MAC,NJ,EAST RUTHERFORD,Y,Y,20060630
021054585,DA FANNIE MAE,DISTRIBUTION ACCT-FANNIE MAE,NJ,EAST RUTHERFORD,Y,Y,20060630
021054598,DA FARMER MAC,DISTRIBUTION ACCT-FARMER MAC,NJ,EAST RUTHERFORD,Y,Y,20060630
021054611,DA AFDB,DISTRIBUTION ACCT-AFDB,NJ,EAST RUTHERFORD,Y,Y,20060630
021054624,DA ADB,DISTRIBUTION ACCT-ASIAN DEV BANK,NJ,EAST RUTHERFORD,Y,Y,20060630
021054637,DA IADB,DISTRIBUTION ACCT-IADB,NJ,EAST RUTHERFORD,Y,Y,20060630
021054640,DA IBRD,DISTRIBUTION ACCT-IBRD,NJ,EAST RUTHERFORD,Y,Y,20060630
021054653,DA IFC,DISTRIBUTION ACCT-IFC,NJ,EAST RUTHERFORD,Y,Y,20060630
021054666,DA GNMA WASH,DISTRIBUTION ACCT-GNMA WASH,NJ,EAST RUTHERFORD,Y,Y,20060630
021054679,DA GNMA REMICS,DISTRIBUTION ACCT-GNMA REMICS TRUSTE,NJ,EAST RUTHERFORD,Y,Y,20060630
021054682,DA VETERAN AFFAIRS,DISTRIBUTION ACCT-VETERAN AFFAIRS,NJ,EAST RUTHERFORD,Y,Y,20060630
021054695,DA TVA,DISTRIBUTION ACCT-TENNESSEE VAL AUTH,NJ,EAST RUTHERFORD,Y,Y,20060630
021054718,DA US TREASURY,DISTRIBUTION ACCT-US TREASURY,NJ,EAST RUTHERFORD,Y,Y,20060630
021054721,DA SLM,DISTRIBUTION ACCT-FRBNY DEFEA TR SLM,NJ,EAST RUTHERFORD,Y,Y,20060630
021054734,FARM CREDIT DN P&I,FARM CREDIT BANK DN P&I,NJ,JERSEY CITY,Y,Y,20160331
021054747,FARM CREDIT DB P&I,FARM CREDIT BANK DB P&I,NJ,JERSEY CITY,N,Y,20171018
021054750,FNMA DN P&I,FNMA DN P&I,DC,WASHINGTON,Y,Y,20160331
021054763,FHLB WASHS DN P&I,FHLBB DN P&I,VA,RESTON,Y,Y,20160331
021054802,IBRD DN P&I,IBRD DN P&I ACCOUNT,NJ,EAST RUTHERFORD,Y,Y,20060710
021054941,FARMER MAC SEC P&I,FARMER MAC SEC P&I ACCOUNT,NJ,EAST RUTHERFORD,Y,Y,20160331
021055966,FEDWIRE DR TEST BK,FEDWIRE DISTRIBUTED REQUEUER TB,NY,NEW YORK,N,N,20160722
021055979,IFC DN P&I,IFC DN P&I,DC,WASHINGTON,Y,Y,20090624
021056318,FARMER MAC II,FARMER MAC II,DC,WASHINGTON,N,N,20161230
021056321,NADB P&I,NADB P&I,NJ,EAST RUTHERFORD,Y,Y,20100519
021056334,DA NADB,DA NADB,NJ,EAST RUTHERFORD,Y,Y,20100513
021059438,BUREAU OF OCEAN EN,BUREAU OF OCEAN ENERGY MANAGEMENT,CA,CAMARILLO,N,Y,20140313
021080012,EBRD EVERGREEN,EBRD USTDA EVERGREEN FUND,NY,NEW YORK,N,N,20101104
021080038,NADB,NORTH AMERICAN DEVELOPMENT BANK,NY,NEW YORK,Y,Y,20150106
021080054,NADB US CAIP,NORTH AMER DEV BK US - CAIP CAPITAL,NY,NEW YORK,Y,N,19990716
021080070,ECBAC2,EUROPEAN CENTRAL BANK-ACCT 2,NY,NEW YORK,Y,Y,20030220
021080119,NAMIBIA BLOCKED,BANK OF NAMIBIA-BLOCKED ASSETS,NY,NEW YORK,N,N,20120103
021080135,UNITED NATIONS,UNITED NATIONS,NY,NEW YORK,Y,N,20150312
021080180,TURKEY SP FUNDS,TURKSF,NY,NEW YORK,Y,Y,20030924
021080232,ADBACR,ADBACR/FOREIGN DEPARTMENT,NY,NEW YORK,Y,N,20150312
021080245,ADB ACCT A,ADB ACCT A/FOREIGN DEPARTMENT,NY,NEW YORK,Y,Y,20140331
021080287,ADB FUND ACCT,ADB FUND ACCT/FOREIGN DEPARTMENT,NY,NEW YORK,Y,N,20150312
021080339,ECB ITALY,ECB ACCT BANCA D ITALIA,NY,NEW YORK,Y,Y,19990701
021080371,AFDB-HIPC AFD BANK,AFRICAN DEVELOPMENT BK-HIPC AFD BANK,NY,NEW YORK,Y,Y,20141121
021080384,AFDB-HIPC AFD FUND,AFRICAN DEVELOPMENT BK-HIPC AFD FUND,NY,NEW YORK,Y,Y,20020326
021080407,EBRD,EBRD/FOREIGN DEPARTMENT,NY,NEW YORK,N,N,20151016
021080410,NETH MOF FMS,GOV NETHERLANDS-MIN OF FINANCE FMS,NY,NEW YORK,Y,Y,20020613
021080436,EBRD NUCLEAR SAFE,EBRD NUCLEAR SAFETY/FORIGN DEPART,NY,NEW YORK,N,N,20150924
021080533,URUGUAY SP FDS ACT,BANCO CENTRAL DEL URUGUAY-SP FDS ACT,NY,NEW YORK,Y,N,20020806
021080546,SLOVAKIA DES ACCT,NATL BK OF SLOVAKIA -DES ACCT,NY,NEW YORK,Y,Y,20021018
021080562,IADB ACCOUNT,INTER-AMERICAN DEVELOPMENT BANK ACCT,NY,NEW YORK,Y,Y,20010720
021080591,ROMANIA RAMP,NAT'L BANK OF ROMANIA RAMP ACCT,NY,NEW YORK,Y,Y,20021211
021080601,SDNY INV DIST,SDNYD,NY,NEW YORK,N,Y,20151109
021080630,AFDB-HIPC NTF,AFRICAN DEVEL B-HIPC NT FUND,NY,NEW YORK,Y,Y,20031124
021080669,MONTENEGRO,CENTRAL BANK OF MONTENEGRO,NY,NEW YORK,Y,Y,20040427
021080672,SLOVAKIA DES ACCTB,NATL BK OF SLOVAKIA DESIGN ACCT B,NY,NEW YORK,Y,Y,20040525
021080708,IRAQ DF TRANSITION,CENTRAL BANK OF IRAQ DF-TRANSITION,NY,NEW YORK,N,N,20140723
021080740,TIMOR-LESTE,BANCO CENTRAL DE TIMOR-LESTE,NY,NEW YORK,Y,Y,20130808
021080850,IRAQ CENTRAL BANK,CENTRAL BANK OF IRAQ,NY,NEW YORK,Y,Y,20041220
021080863,BULGARIAN DES ACCT,BULGARIAN NATL BK DESIGNTD ACCT,NY,NEW YORK,Y,Y,20050516
021080892,DOM REP CONSOLID,BC REP DOMINICANA-CONSOLIDATION FUND,NY,NEW YORK,Y,Y,20050406
021080902,DOM REP CONTINGEN,BC REP DOMINICANA-CONTINGENCY FUND,NY,NEW YORK,Y,Y,20050406
021080915,SAO TOME,BANCO CENTRAL DE SAO TOME A PRINCIPE,NY,NEW YORK,Y,Y,20050607
021080960,SAO TOME NATL OIL,BC SAO TOME E PRINCIPE NATL OIL ACCT,NY,NEW YORK,Y,Y,20050608
021080973,TIMOR PETRO FUND,BANCO CENTRAL DE TIMOR-LESTE PET FND,NY,NEW YORK,Y,Y,20130808
021081082,IRAQ FMS,CENTRAL BANK OF IRAQ-FMS ACCOUNT,NY,NEW YORK,Y,Y,20061201
021081095,IBRD ACCT C,IBRD ACCT C/FOREIGN DEPARTMENT,NY,NEW YORK,N,N,20021206
